time_seconds,raw,weight
7115.459,5781.0,24.0
7117.409,5759.0,23.5
7119.357,5777.0,23.7
7121.306,5739.0,23.7
7123.255,5769.0,23.5
7125.204,5709.0,23.5
7127.153,5821.0,23.6
7129.102,5738.0,23.7
7131.050,5722.0,23.5
7133.000,5849.0,23.6
7134.948,5751.0,23.7
7136.897,5741.0,23.7
7138.846,5730.0,23.6
7140.794,5775.0,23.6
7142.744,5726.0,24.1
7144.693,5758.0,23.6
7146.641,5758.0,23.7
7148.590,5720.0,23.8
7150.539,5728.0,23.9
7152.487,5765.0,23.8
7154.437,5890.0,23.8
7156.386,5767.0,23.4
7158.334,5762.0,23.7
7160.283,5839.0,23.6
7162.232,5756.0,23.6
7164.180,5779.0,23.6
7166.130,5773.0,23.7
7168.079,5728.0,23.5
7170.028,5722.0,23.8
7171.976,5782.0,23.6
7173.925,5783.0,23.4
7175.874,5673.0,24.0
7177.823,5695.0,23.6
7179.772,5721.0,23.4
7181.721,5800.0,23.7
7183.670,5751.0,23.6
7185.618,5720.0,23.6
7187.567,5774.0,23.4
7189.516,5765.0,23.6
7191.464,5659.0,23.6
7193.414,5827.0,23.8
7195.363,5729.0,23.4
7197.311,5696.0,23.6
7199.260,5744.0,23.5
7201.210,5728.0,23.6
7203.159,5709.0,23.8
7205.107,5757.0,23.6
7207.057,5726.0,23.5
7209.006,5729.0,24.0
7210.955,5713.0,23.5
7212.903,5724.0,23.5
7214.853,5797.0,23.6
7216.802,5725.0,23.5
7218.751,5693.0,23.6
7220.700,5834.0,23.6
7222.649,5771.0,23.5
7224.597,5740.0,23.6
7226.547,5830.0,23.5
7228.496,5734.0,23.7
7230.444,5760.0,23.9
7232.394,5701.0,23.6
7234.343,5737.0,23.4
7236.292,5691.0,23.8
7238.241,5693.0,23.6
7240.190,5736.0,23.5
7242.139,5723.0,23.7
7244.088,5704.0,23.7
7246.036,5725.0,23.4
7247.986,5828.0,23.5
7249.934,5797.0,23.3
7251.883,5699.0,23.7
7253.832,5859.0,23.6
7255.781,5720.0,23.5
7257.730,5775.0,23.6
7259.679,5786.0,23.7
7261.628,5728.0,23.5
7263.577,5717.0,23.9
7265.526,5677.0,23.4
7267.475,5761.0,23.5
7269.424,5712.0,23.9
7271.373,5762.0,23.6
7273.322,5695.0,23.4
7275.271,5804.0,23.8
7277.220,5716.0,23.7
7279.169,5656.0,23.6
7281.118,5754.0,23.2
7283.067,5750.0,23.5
7285.015,5735.0,23.5
7286.965,5841.0,23.7
7288.913,5747.0,23.4
7290.861,5679.0,23.7
7292.810,5786.0,23.5
7294.759,5741.0,23.6
7296.708,5706.0,23.9
7298.657,5735.0,23.7
7300.606,5699.0,23.5
7302.555,5707.0,23.9
7304.504,5746.0,23.4
7306.453,5698.0,23.7
7308.402,5837.0,23.8
7310.351,5775.0,23.6
7312.300,5728.0,23.6
7314.249,5818.0,23.8
7316.198,5764.0,23.5
7318.147,5755.0,23.6
7320.096,5822.0,23.3
7322.045,5734.0,23.8
7323.994,5720.0,23.9
7325.943,5750.0,23.7
7327.892,5771.0,23.6
7329.841,5771.0,24.0
7331.790,5729.0,23.7
7333.739,5743.0,23.7
7335.688,5796.0,23.7
7337.637,5767.0,23.8
7339.586,5682.0,23.7
7341.534,5778.0,23.8
7343.482,5695.0,23.5
7345.430,5723.0,23.4
7347.378,5828.0,23.5
7349.325,5674.0,23.6
7351.273,5651.0,23.4
7353.221,5740.0,23.5
7355.170,5779.0,23.6
7357.119,5761.0,24.0
7359.068,5767.0,23.4
7361.017,5713.0,23.6
7362.966,5712.0,24.0
7364.915,5699.0,23.7
7366.864,5697.0,23.5
7368.813,5781.0,23.9
7370.762,5795.0,23.7
