time_seconds,raw,weight
39649.027,5196.0,21.9
39650.976,5241.0,21.5
39652.923,5186.0,21.5
39654.872,5225.0,21.9
39656.820,5195.0,21.7
39658.768,5211.0,21.7
39660.717,5262.0,22.1
39662.665,5221.0,21.5
39664.613,5188.0,21.8
39666.562,5293.0,21.6
39668.510,5209.0,21.6
39670.458,5230.0,21.7
39672.407,5313.0,21.7
39674.355,5190.0,21.5
39676.303,5214.0,21.6
39678.251,5296.0,21.6
39680.199,5230.0,21.7
39682.148,5166.0,21.8
39684.096,5143.0,21.8
39686.045,5218.0,21.7
39687.993,5254.0,22.0
39689.942,5214.0,21.8
39691.890,5189.0,21.5
39693.838,5222.0,21.8
39695.786,5243.0,21.7
39697.735,5170.0,21.6
39699.683,5259.0,21.8
39701.632,5247.0,21.6
39703.580,5164.0,21.5
39705.529,5306.0,21.6
39707.477,5175.0,21.7
39709.425,5185.0,21.8
39711.374,5289.0,21.5
39713.322,5195.0,21.6
39715.271,5238.0,22.0
39717.219,5184.0,21.6
39719.168,5185.0,21.7
39721.116,5231.0,21.8
39723.065,5216.0,21.7
39725.012,5202.0,21.8
39726.961,5288.0,21.8
39728.910,5167.0,21.5
39730.858,5239.0,21.9
39732.806,5245.0,21.7
39734.754,5157.0,21.8
39736.703,5187.0,21.5
39738.651,5268.0,21.6
39740.600,5138.0,21.8
39742.548,5131.0,21.7
39744.497,5223.0,21.5
39746.445,5220.0,21.6
39748.394,5179.0,22.0
39750.342,5172.0,21.6
39752.290,5115.0,21.5
39754.239,5147.0,21.9
39756.187,5161.0,21.5
39758.135,5217.0,21.6
39760.084,5278.0,21.7
39762.032,5224.0,21.7
39763.980,5206.0,21.5
39765.929,5322.0,21.8
39767.877,5203.0,21.5
39769.825,5214.0,21.8
39771.774,5270.0,21.7
39773.723,5183.0,21.6
39775.670,5195.0,21.7
39777.619,5179.0,21.7
39779.567,5213.0,21.5
39781.516,5230.0,22.1
39783.464,5209.0,21.4
39785.412,5180.0,21.6
39787.361,5238.0,21.9
39789.309,5220.0,21.8
39791.258,5267.0,21.7
39793.206,5314.0,21.8
39795.155,5218.0,21.9
39797.103,5293.0,21.7
39799.052,5441.0,21.6
39801.000,5228.0,21.9
39802.948,5211.0,21.8
39804.897,5273.0,21.8
39806.845,5198.0,21.7
39808.794,5169.0,21.9
39810.743,5189.0,21.7
39812.691,5228.0,21.6
39814.639,5150.0,22.0
39816.588,5257.0,21.7
39818.536,5178.0,21.5
39820.485,5162.0,22.0
39822.433,5229.0,21.6
39824.381,5205.0,21.4
39826.329,5201.0,21.7
39828.277,5220.0,21.5
39830.225,5160.0,21.7
39832.174,5320.0,21.7
39834.123,5191.0,21.5
39836.071,5205.0,22.0
39838.020,5277.0,21.7
39839.968,5195.0,21.6
39841.917,5194.0,22.1
39843.865,5183.0,21.6
39845.813,5202.0,21.7
39847.762,5198.0,22.0
